Type,Trans Date,Post Date,Description,Amount
Sale,09/04/2017,09/04/2017,DOLORES PARK OUTPOST,-33.62
Sale,09/03/2017,09/04/2017,SQ *RITUAL COFFEE ROASTER,-19.20
Sale,09/03/2017,09/04/2017,SAM HORT VALENCIA FARMERS,-12.61
Sale,09/03/2017,09/04/2017,Amazon web services,-34.02
Sale,09/02/2017,09/03/2017,COMCAST DENVER CS 1X,-129.48
Sale,09/02/2017,09/04/2017,DELISH DISH KITCHEN INC,-31.50
Sale,09/02/2017,09/03/2017,SQ *PHILZ COFFEE,-3.50
Sale,09/02/2017,09/03/2017,BI-RITE MARKET,-33.89
Fee,09/01/2017,09/01/2017,ANNUAL MEMBERSHIP FEE,-99.00
Sale,09/01/2017,09/03/2017,AMC VAN NESS 14 #0434,-13.68
Sale,09/01/2017,09/03/2017,AMC VAN NESS 14 #0434,-13.18
Sale,09/01/2017,09/04/2017,PEOPLE'S BARBER,-55.00
Sale,09/01/2017,09/03/2017,BEN THAI CAFE,-62.08
Sale,09/01/2017,09/03/2017,TARTINE BAKERY AND CAFE,-22.14
Sale,09/01/2017,09/03/2017,APL* ITUNES.COM/BILL,-13.46
Sale,09/01/2017,09/03/2017,WHOLEFDS CAS #10396,-16.61
Sale,08/31/2017,09/01/2017,E 470 EXPRESS TOLLS,-1.55
Payment,08/31/2017,08/31/2017,Payment Thank You - Web,4355.21
Sale,08/31/2017,09/03/2017,SHELL OIL 57442465001,-34.39
Sale,08/31/2017,09/01/2017,SQ *COLORADO LIMITED,-46.29
Sale,08/31/2017,09/01/2017,SAHARA RESTAURANT,-30.92
Sale,08/30/2017,09/03/2017,SAFEWAY  STORE00016147,-52.48
Sale,08/29/2017,08/30/2017,MICROSOFT   *OFFICE 365,-7.25
Sale,08/29/2017,08/30/2017,BEST BUY MHT  00002113,-301.40
Sale,08/29/2017,08/31/2017,CB AND POTTS  DENVER,-17.75
Sale,08/28/2017,08/29/2017,TOKYO JOES FIDDLERS,-9.60
Sale,08/28/2017,08/29/2017,TRADER JOE'S #302 QPS,-3.27
Sale,08/28/2017,08/29/2017,Chupaflor,-3.77
Sale,08/27/2017,08/28/2017,SQ *MARIA EMPANADA,-13.63
Sale,08/27/2017,08/28/2017,BILLYS GOURMET HOT DOG,-10.66
Sale,08/27/2017,08/28/2017,LITTLE MAN ICE CREAM,-4.98
Sale,08/27/2017,08/28/2017,WHOLEFDS CCK 10095,-12.55
Sale,08/26/2017,08/28/2017,NEW BALANCE CHERRY CRK,-226.01
Sale,08/26/2017,08/27/2017,TRADER JOE'S #302 QPS,-16.80
Sale,08/26/2017,08/27/2017,PUBLIC WORKS-PRKG METR,-1.00
Sale,08/25/2017,08/25/2017,GFTIP.COM,-67.00
Sale,08/25/2017,08/27/2017,CHINOOK TAVERN,-43.50
Sale,08/25/2017,08/28/2017,PHO SAIGON-VIETNAMESE NOO,-17.43
Sale,08/24/2017,08/25/2017,CHINOOK TAVERN,-8.50
Sale,08/24/2017,08/27/2017,BRADLEY #314,-30.39
Sale,08/24/2017,08/27/2017,TORCHYS TACOS - ARAPAHOE,-7.90
Sale,08/24/2017,08/25/2017,BENIHANA BROOMFIELD,-62.08
Sale,08/24/2017,08/27/2017,TORCHYS TACOS - ARAPAHOE,-20.11
Sale,08/24/2017,08/27/2017,ROBERTS ITALIAN DELI,-5.28
Sale,08/24/2017,08/25/2017,SQ *WANDERCULINARILUST,-12.00
Sale,08/23/2017,08/25/2017,DELTA AIR   0068648894142,-440.40
Sale,08/23/2017,08/24/2017,MCDONALD'S F6047,-5.50
Sale,08/22/2017,08/24/2017,SOUTHWES    5268756210312,-11.20
Sale,08/22/2017,08/23/2017,GLOBAL PACIFIC PARKING,-2.00
Sale,08/21/2017,08/24/2017,CB AND POTTS  DENVER,-25.74
Sale,08/21/2017,08/22/2017,TAVERN TECH CENTER,-18.02
Sale,08/20/2017,08/22/2017,AC DBC FSPIZZA ECOLFAX,-20.60
Sale,08/20/2017,08/22/2017,WINE SELLER &amp; SPIRITS TOO,-17.32
Sale,08/20/2017,08/22/2017,SAFEWAY  STORE00016147,-24.81
Sale,08/20/2017,08/21/2017,NATURAL GROCERS,-17.43
Sale,08/20/2017,08/21/2017,TRADER JOE'S #302 QPS,-15.26
Sale,08/19/2017,08/21/2017,ASPEN PARKING DEPARTMENT,-7.50
Sale,08/19/2017,08/20/2017,KUM &amp; GO #4951,-26.51
Sale,08/19/2017,08/21/2017,LINGER,-17.12
Sale,08/18/2017,08/21/2017,MINI U STORAGE-ILIFF,-67.00
Sale,08/18/2017,08/21/2017,LA SANDIA MEXICAN KITCHEN,-61.97
Sale,08/18/2017,08/20/2017,ESPRESSOLE CAFFE,-9.50
Sale,08/17/2017,08/18/2017,FAST TRAXX,-231.86
Sale,08/17/2017,08/20/2017,CB AND POTTS  DENVER,-65.97
Sale,08/17/2017,08/20/2017,EXXONMOBIL    99151581,-33.57
Sale,08/17/2017,08/20/2017,RTD ARAPAHOE,-2.60
Sale,08/17/2017,08/20/2017,PHO SAIGON-VIETNAMESE NOO,-10.53
Sale,08/15/2017,08/16/2017,IHC INS PREMIUM,-209.58
Sale,08/15/2017,08/16/2017,ESPRESSOLE CAFFE,-8.75
Sale,08/14/2017,08/15/2017,APL* ITUNES.COM/BILL,-12.43
Sale,08/14/2017,08/16/2017,FINNS MCCOOLS,-30.68
Sale,08/14/2017,08/15/2017,APL* ITUNES.COM/BILL,-14.99
Sale,08/13/2017,08/14/2017,WHOLEFDS CCK 10095,-70.62
Sale,08/13/2017,08/15/2017,WINE SELLER &amp; SPIRITS TOO,-12.99
Sale,08/13/2017,08/15/2017,SAFEWAY  STORE00016147,-25.45
Sale,08/13/2017,08/14/2017,ZAP*ZAPPOS.COM,-139.95
Sale,08/12/2017,08/14/2017,WINE SELLER &amp; SPIRITS TOO,-23.48
Sale,08/12/2017,08/13/2017,PASTA PASTA PASTA,-40.99
Sale,08/12/2017,08/14/2017,VERIZON WRL MY ACCT VW,-142.42
Sale,08/11/2017,08/13/2017,TORCHYS TACOS - ARAPAHOE,-23.25
Sale,08/10/2017,08/13/2017,WORLD OF BEER,-23.23
Sale,08/10/2017,08/11/2017,CHIPOTLE 1528,-7.35
Sale,08/10/2017,08/11/2017,APL* ITUNES.COM/BILL,-20.72
Sale,08/10/2017,08/13/2017,BRADLEY #314,-29.94
Sale,08/09/2017,08/11/2017,GREAT WALL III,-10.60
Sale,08/09/2017,08/11/2017,SEMION BARBERSHOP,-39.00
Sale,08/08/2017,08/10/2017,7-ELEVEN 27043,-3.00
Sale,08/08/2017,08/10/2017,PHO SAIGON-VIETNAMESE NOO,-9.45
Sale,08/08/2017,08/09/2017,CALLAHAN AND KLEIN DENTAL,-138.00
Sale,08/07/2017,08/08/2017,TRADER JOE'S #302 QPS,-13.60
Sale,08/07/2017,08/09/2017,PHO DUY,-10.63
Sale,08/06/2017,08/09/2017,SAFEWAY  STORE00016147,-2.49
Sale,08/06/2017,08/07/2017,KING SOOPERS #0001,-99.14
Sale,08/06/2017,08/08/2017,STARBUCKS STORE 05285,-17.23
Sale,08/06/2017,08/08/2017,SAFEWAY  STORE00016147,-4.57
Sale,08/06/2017,08/07/2017,LA WINE SPIRITS,-18.45
Sale,08/06/2017,08/07/2017,TRADER JOE'S #302 QPS,-8.59
Sale,08/05/2017,08/07/2017,KEYSTONE RIVER RUN SPORTS,-46.40
Sale,08/05/2017,08/06/2017,APL* ITUNES.COM/BILL,-13.46
Sale,08/05/2017,08/06/2017,PRN COAST TO COAST AM,-6.95
Sale,08/05/2017,08/07/2017,KEYSTONE NEIGHBOURHOOD-T,-20.00
Sale,08/04/2017,08/06/2017,SHELL OIL 57444275002,-27.57
Sale,08/04/2017,08/07/2017,CB AND POTTS  DENVER,-39.67
Sale,08/04/2017,08/06/2017,TRADER JOE'S #302 QPS,-28.02
